Annual_income,age,experience,Type_Income,Type_Occupation,Marital_status,Housing_type
202500.0,32,2,Working,Drivers,Married,House / apartment
157500.0,40,10,Working,Core staff,Married,House / apartment
112500.0,31,6,Working,Accountants,Married,House / apartment
315000.0,32,4,Working,Managers,Married,House / apartment
270000.0,37,15,Commercial associate,Drivers,Married,House / apartment
162000.0,31,2,Working,Security staff,Single / not married,House / apartment
270000.0,33,2,Working,Laborers,Married,House / apartment
112500.0,30,5,Working,Core staff,Married,House / apartment
58500.0,68,0,Pensioner,Laborers,Single / not married,House / apartment
94500.0,40,17,Commercial associate,Medicine staff,Separated,House / apartment
270000.0,44,3,Working,Laborers,Married,House / apartment
270000.0,38,0,Working,Sales staff,Separated,House / apartment
99000.0,59,0,Pensioner,Laborers,Civil marriage,House / apartment
315000.0,43,13,Working,Private service staff,Separated,House / apartment
157500.0,40,6,Commercial associate,Core staff,Married,House / apartment
180000.0,27,4,Working,Sales staff,Married,House / apartment
211500.0,40,13,Commercial associate,Laborers,Married,With parents
202500.0,42,23,Working,Laborers,Single / not married,House / apartment
180000.0,56,0,Pensioner,Laborers,Widow,House / apartment
144000.0,44,6,Working,Laborers,Married,House / apartment
144000.0,47,14,Working,Medicine staff,Married,House / apartment
270000.0,35,3,Working,Core staff,Single / not married,House / apartment
148500.0,39,3,Working,Laborers,Single / not married,Municipal apartment
157500.0,37,17,Commercial associate,Medicine staff,Married,House / apartment
90000.0,25,2,Commercial associate,Sales staff,Married,House / apartment
148500.0,59,0,Pensioner,Laborers,Married,House / apartment
99000.0,54,15,Working,Medicine staff,Married,With parents
315000.0,63,0,Pensioner,Laborers,Widow,House / apartment
162000.0,41,0,State servant,Accountants,Civil marriage,House / apartment
202500.0,48,15,Commercial associate,Managers,Widow,House / apartment
225000.0,27,2,Working,Laborers,Single / not married,House / apartment
612000.0,34,10,State servant,Accountants,Married,House / apartment
292500.0,58,13,Working,Core staff,Married,House / apartment
67500.0,65,0,Pensioner,Laborers,Single / not married,Municipal apartment
157500.0,47,8,Working,Medicine staff,Separated,House / apartment
135000.0,56,26,State servant,Core staff,Married,House / apartment
67500.0,39,4,Working,Core staff,Married,House / apartment
144000.0,64,0,Pensioner,Laborers,Married,House / apartment
90000.0,63,0,Pensioner,Laborers,Married,House / apartment
112500.0,54,6,Working,Cleaning staff,Separated,House / apartment
112500.0,27,3,Working,Laborers,Single / not married,House / apartment
135000.0,45,27,Working,Managers,Civil marriage,House / apartment
360000.0,27,5,State servant,Laborers,Married,House / apartment
112500.0,42,3,Working,Core staff,Single / not married,House / apartment
225000.0,29,3,Working,Managers,Civil marriage,House / apartment
112500.0,55,0,Pensioner,Laborers,Married,House / apartment
202500.0,42,23,Working,High skill tech staff,Married,House / apartment
202500.0,40,6,State servant,Core staff,Married,House / apartment
225000.0,49,5,Commercial associate,Drivers,Married,With parents
112500.0,33,3,Working,Laborers,Married,House / apartment
202500.0,34,7,Commercial associate,High skill tech staff,Civil marriage,House / apartment
328500.0,41,7,Working,Laborers,Married,House / apartment
112500.0,30,3,Commercial associate,Laborers,Married,House / apartment
202500.0,55,1,Working,Laborers,Married,House / apartment
135000.0,28,3,Working,Sales staff,Married,House / apartment
157500.0,44,6,Working,Laborers,Married,House / apartment
270000.0,42,6,Commercial associate,Secretaries,Married,House / apartment
157500.0,31,7,Working,Drivers,Married,House / apartment
193500.0,58,31,Working,Laborers,Married,House / apartment
103500.0,59,0,Pensioner,Laborers,Married,House / apartment
90000.0,55,3,Working,Core staff,Married,House / apartment
198000.0,37,8,Commercial associate,Managers,Married,House / apartment
202500.0,60,0,Pensioner,Laborers,Married,House / apartment
225000.0,30,4,Working,Laborers,Married,House / apartment
72000.0,60,2,Working,Security staff,Married,House / apartment
202500.0,44,10,Working,Laborers,Married,House / apartment
247500.0,47,3,Working,Laborers,Civil marriage,House / apartment
157500.0,41,9,State servant,Laborers,Married,House / apartment
225000.0,34,1,State servant,Medicine staff,Married,With parents
112500.0,43,1,Commercial associate,Laborers,Single / not married,Municipal apartment
450000.0,48,5,Commercial associate,Laborers,Married,House / apartment
180000.0,27,0,Commercial associate,Drivers,Married,House / apartment
108000.0,39,11,Working,Laborers,Separated,House / apartment
787500.0,47,4,State servant,Managers,Married,House / apartment
202500.0,39,15,Commercial associate,Laborers,Civil marriage,With parents
157500.0,57,3,Commercial associate,Laborers,Married,House / apartment
90000.0,36,3,Working,Sales staff,Separated,With parents
191399.0,55,3,Working,Laborers,Married,House / apartment
225000.0,46,8,Working,Laborers,Civil marriage,House / apartment
90000.0,40,2,Working,Laborers,Single / not married,House / apartment
72000.0,52,4,Working,Cleaning staff,Single / not married,House / apartment
225000.0,49,5,Working,Drivers,Separated,House / apartment
157500.0,26,8,Working,Laborers,Married,House / apartment
360000.0,34,11,Commercial associate,Managers,Married,House / apartment
450000.0,30,2,Commercial associate,Sales staff,Single / not married,House / apartment
216000.0,33,1,Working,Sales staff,Married,Municipal apartment
157500.0,42,12,Commercial associate,Laborers,Married,House / apartment
315000.0,49,3,Working,Laborers,Married,House / apartment
315000.0,34,3,State servant,Managers,Married,House / apartment
594000.0,48,0,Pensioner,Laborers,Single / not married,Municipal apartment
135000.0,50,2,Working,Laborers,Married,House / apartment
180000.0,48,3,State servant,Core staff,Married,House / apartment
157500.0,47,2,Working,Security staff,Separated,House / apartment
234000.0,57,8,Working,Laborers,Single / not married,House / apartment
99000.0,59,0,Pensioner,Laborers,Civil marriage,House / apartment
225000.0,49,11,Commercial associate,Drivers,Married,House / apartment
292500.0,34,9,Commercial associate,Laborers,Married,House / apartment
198000.0,60,0,Pensioner,Laborers,Widow,House / apartment
90000.0,53,8,Commercial associate,Laborers,Married,House / apartment
247500.0,61,0,Pensioner,Laborers,Married,House / apartment
112500.0,44,18,Working,High skill tech staff,Married,House / apartment
157500.0,33,8,Commercial associate,Laborers,Married,With parents
112500.0,44,7,Commercial associate,Managers,Married,House / apartment
585000.0,46,5,Commercial associate,Drivers,Married,With parents
180000.0,53,32,Working,Medicine staff,Married,House / apartment
225000.0,38,15,Working,Laborers,Single / not married,With parents
225000.0,30,4,Commercial associate,Managers,Separated,House / apartment
135000.0,56,8,Working,Managers,Married,House / apartment
112500.0,49,1,Working,Security staff,Civil marriage,House / apartment
112500.0,57,0,Pensioner,Laborers,Married,House / apartment
180000.0,27,8,Commercial associate,Laborers,Married,Municipal apartment
112500.0,36,7,Working,Laborers,Married,House / apartment
117000.0,37,4,Working,Sales staff,Married,Municipal apartment
135000.0,53,21,Working,Laborers,Married,House / apartment
270000.0,32,8,Working,Laborers,Married,House / apartment
135000.0,32,2,Commercial associate,High skill tech staff,Married,House / apartment
157500.0,32,6,Working,Laborers,Married,House / apartment
243000.0,40,6,Working,Sales staff,Single / not married,House / apartment
121500.0,25,4,State servant,Laborers,Single / not married,House / apartment
135000.0,32,2,Working,Laborers,Married,House / apartment
225000.0,44,7,Commercial associate,Sales staff,Single / not married,House / apartment
225000.0,37,3,Working,Drivers,Married,House / apartment
112500.0,54,6,State servant,Laborers,Married,House / apartment
157500.0,63,0,Pensioner,Laborers,Married,House / apartment
202500.0,55,0,Pensioner,Laborers,Married,House / apartment
337500.0,49,13,Working,Laborers,Civil marriage,House / apartment
103500.0,32,3,Working,Sales staff,Married,House / apartment
99000.0,58,0,Pensioner,Laborers,Married,House / apartment
67500.0,42,3,State servant,Core staff,Married,House / apartment
112500.0,58,0,Pensioner,Laborers,Married,House / apartment
270000.0,35,3,Working,Core staff,Single / not married,House / apartment
315000.0,34,11,Commercial associate,Core staff,Married,House / apartment
135000.0,62,0,Pensioner,Laborers,Married,House / apartment
180000.0,31,1,Working,Drivers,Married,House / apartment
225000.0,34,1,Working,Managers,Married,House / apartment
85500.0,28,2,Working,Accountants,Civil marriage,House / apartment
135000.0,43,8,Working,Laborers,Married,House / apartment
119700.0,36,9,Working,Laborers,Married,House / apartment
495000.0,28,1,Working,Laborers,Married,House / apartment
112500.0,53,10,Working,Drivers,Married,House / apartment
153000.0,36,4,Commercial associate,Accountants,Married,House / apartment
216000.0,42,9,State servant,Laborers,Married,House / apartment
202500.0,44,8,Working,Sales staff,Married,House / apartment
90000.0,48,1,State servant,Laborers,Married,House / apartment
108000.0,42,2,Commercial associate,Medicine staff,Married,House / apartment
270000.0,61,0,Pensioner,Laborers,Married,House / apartment
76500.0,56,0,Pensioner,Laborers,Married,House / apartment
69372.0,44,1,Working,Laborers,Married,House / apartment
135000.0,28,7,Commercial associate,Managers,Married,House / apartment
117000.0,57,6,Working,Laborers,Married,House / apartment
202500.0,46,12,Commercial associate,Sales staff,Civil marriage,House / apartment
126000.0,27,4,Working,Sales staff,Married,House / apartment
135000.0,57,0,Pensioner,Laborers,Married,House / apartment
180000.0,35,4,Working,Drivers,Single / not married,With parents
225000.0,33,4,Commercial associate,High skill tech staff,Single / not married,House / apartment
81000.0,27,5,Commercial associate,Laborers,Single / not married,House / apartment
157500.0,36,8,Working,Laborers,Civil marriage,House / apartment
90000.0,59,0,Pensioner,Laborers,Widow,House / apartment
225000.0,31,2,Working,Drivers,Married,House / apartment
157500.0,62,0,Pensioner,Laborers,Married,House / apartment
103500.0,48,6,Working,Sales staff,Single / not married,House / apartment
202500.0,32,1,Commercial associate,Managers,Married,House / apartment
37800.0,36,0,Pensioner,Laborers,Married,House / apartment
135000.0,55,0,Pensioner,Laborers,Married,House / apartment
157500.0,47,9,Commercial associate,Laborers,Married,House / apartment
180000.0,26,4,Commercial associate,High skill tech staff,Single / not married,House / apartment
135000.0,37,0,Working,Sales staff,Single / not married,House / apartment
225000.0,36,10,Working,Core staff,Married,House / apartment
157500.0,54,27,Working,Laborers,Married,House / apartment
387000.0,55,14,Commercial associate,Sales staff,Married,House / apartment
225000.0,28,9,Working,Laborers,Married,House / apartment
225000.0,27,1,Working,Drivers,Single / not married,House / apartment
126000.0,33,14,State servant,Core staff,Single / not married,House / apartment
135000.0,43,9,Working,Laborers,Married,House / apartment
202500.0,43,2,Working,Laborers,Married,House / apartment
225000.0,30,7,Working,Laborers,Married,House / apartment
157500.0,43,1,Commercial associate,Laborers,Separated,With parents
202500.0,42,6,Working,Drivers,Married,House / apartment
247500.0,46,18,Working,Laborers,Single / not married,House / apartment
225000.0,30,0,Commercial associate,Managers,Married,House / apartment
112500.0,54,6,Working,Laborers,Married,House / apartment
112500.0,37,15,Working,Laborers,Married,House / apartment
135000.0,42,4,State servant,Core staff,Single / not married,House / apartment
207000.0,51,7,Working,Cooking staff,Single / not married,House / apartment
270000.0,41,9,Commercial associate,Core staff,Married,House / apartment
315000.0,43,10,Working,Sales staff,Married,House / apartment
315000.0,37,9,Commercial associate,High skill tech staff,Married,House / apartment
112500.0,40,7,Working,Managers,Married,House / apartment
121500.0,28,5,Working,Sales staff,Married,House / apartment
225000.0,41,9,Working,Private service staff,Single / not married,House / apartment
225000.0,57,9,Working,Laborers,Civil marriage,Office apartment
157500.0,57,0,Pensioner,Laborers,Married,House / apartment
225000.0,37,8,State servant,Managers,Married,House / apartment
135000.0,63,0,Pensioner,Laborers,Married,House / apartment
225000.0,38,10,State servant,High skill tech staff,Married,House / apartment
270000.0,41,6,Commercial associate,Sales staff,Separated,House / apartment
202500.0,58,0,Pensioner,Laborers,Widow,House / apartment
135000.0,36,7,Working,Laborers,Civil marriage,House / apartment
112500.0,64,0,Pensioner,Laborers,Civil marriage,House / apartment
157500.0,60,0,Pensioner,Laborers,Married,House / apartment
450000.0,44,2,Commercial associate,Laborers,Separated,House / apartment
202500.0,46,11,Working,Laborers,Separated,House / apartment
900000.0,27,3,Commercial associate,Managers,Married,House / apartment
135000.0,45,23,Working,Laborers,Civil marriage,House / apartment
337500.0,65,21,Working,Laborers,Married,House / apartment
94500.0,44,0,Pensioner,Laborers,Married,House / apartment
90000.0,50,0,Pensioner,Laborers,Married,House / apartment
157500.0,38,12,Working,Laborers,Married,House / apartment
270000.0,40,16,Commercial associate,Laborers,Single / not married,House / apartment
112500.0,41,4,Commercial associate,Sales staff,Civil marriage,House / apartment
135000.0,29,2,Working,Sales staff,Single / not married,House / apartment
270000.0,58,7,Commercial associate,Accountants,Single / not married,House / apartment
112500.0,27,4,Working,Laborers,Single / not married,House / apartment
225000.0,32,10,Commercial associate,Laborers,Married,House / apartment
54000.0,67,0,Pensioner,Laborers,Married,House / apartment
189000.0,55,17,Commercial associate,Laborers,Married,House / apartment
135000.0,42,8,Commercial associate,Private service staff,Married,House / apartment
157500.0,66,0,Pensioner,Laborers,Single / not married,House / apartment
121500.0,62,0,Pensioner,Laborers,Married,House / apartment
180000.0,43,5,Working,Cooking staff,Married,With parents
121500.0,66,0,Pensioner,Laborers,Widow,House / apartment
225000.0,40,7,Working,Managers,Civil marriage,House / apartment
180000.0,46,12,Commercial associate,Sales staff,Single / not married,Municipal apartment
315000.0,54,3,Working,Laborers,Married,House / apartment
112500.0,50,1,Working,Laborers,Married,House / apartment
90000.0,24,1,Commercial associate,Laborers,Married,House / apartment
90000.0,39,6,Commercial associate,Medicine staff,Married,House / apartment
45000.0,39,2,Working,Sales staff,Separated,House / apartment
180000.0,26,7,State servant,Drivers,Married,House / apartment
112500.0,27,4,Working,Laborers,Single / not married,House / apartment
135000.0,25,0,State servant,Core staff,Married,House / apartment
360000.0,34,11,Commercial associate,Managers,Married,House / apartment
135000.0,53,2,Working,Laborers,Civil marriage,House / apartment
99000.0,58,6,Working,Laborers,Married,House / apartment
270000.0,42,9,Working,Laborers,Single / not married,House / apartment
157500.0,34,5,Working,Core staff,Married,House / apartment
191399.0,55,7,Working,Security staff,Married,House / apartment
180000.0,44,0,Working,Security staff,Married,House / apartment
315000.0,46,14,Working,Drivers,Married,House / apartment
112500.0,54,2,Commercial associate,High skill tech staff,Married,House / apartment
108000.0,44,20,Working,Laborers,Married,House / apartment
180000.0,58,7,Commercial associate,Laborers,Married,House / apartment
225000.0,39,3,Working,Medicine staff,Married,House / apartment
90000.0,33,15,Working,Laborers,Married,House / apartment
292500.0,35,6,State servant,High skill tech staff,Married,House / apartment
157500.0,39,5,Working,Laborers,Married,House / apartment
135000.0,40,4,Working,Laborers,Separated,House / apartment
315000.0,53,5,Commercial associate,Accountants,Married,House / apartment
225000.0,44,8,Working,Managers,Married,House / apartment
333000.0,32,4,Commercial associate,Managers,Married,House / apartment
171000.0,54,23,Working,Accountants,Single / not married,House / apartment
130500.0,42,10,Working,Sales staff,Married,House / apartment
112500.0,28,9,Working,Laborers,Married,House / apartment
202500.0,30,10,Commercial associate,Laborers,Married,House / apartment
126000.0,35,4,Working,Sales staff,Married,House / apartment
225000.0,53,8,Working,Laborers,Married,House / apartment
135000.0,57,6,Working,Laborers,Married,House / apartment
112500.0,39,12,Working,Cooking staff,Married,House / apartment
105750.0,35,4,Working,Cleaning staff,Married,With parents
135000.0,44,2,Working,Laborers,Married,House / apartment
180000.0,22,2,State servant,Laborers,Single / not married,House / apartment
360000.0,56,5,Commercial associate,Managers,Married,House / apartment
157500.0,53,14,Commercial associate,Laborers,Married,House / apartment
90000.0,64,0,Pensioner,Laborers,Single / not married,House / apartment
112500.0,44,5,Working,Managers,Single / not married,House / apartment
180000.0,34,10,Working,Laborers,Married,House / apartment
225000.0,49,4,Working,Laborers,Married,House / apartment
67500.0,56,0,Pensioner,Laborers,Single / not married,House / apartment
270000.0,38,4,Working,Laborers,Single / not married,House / apartment
202500.0,31,10,Commercial associate,High skill tech staff,Married,House / apartment
144000.0,36,10,Commercial associate,Medicine staff,Civil marriage,House / apartment
207000.0,67,0,Pensioner,Laborers,Married,House / apartment
180000.0,27,8,Commercial associate,Laborers,Married,Municipal apartment
202500.0,37,5,Working,Laborers,Married,House / apartment
202500.0,62,0,Working,Drivers,Civil marriage,House / apartment
180000.0,21,1,Working,Core staff,Civil marriage,With parents
126000.0,65,6,Working,Accountants,Married,House / apartment
157500.0,45,19,Working,Laborers,Married,House / apartment
225000.0,32,11,State servant,Laborers,Married,House / apartment
202500.0,33,4,Working,Managers,Widow,House / apartment
103500.0,34,1,Working,Sales staff,Single / not married,House / apartment
90000.0,41,3,Working,Low-skill Laborers,Separated,House / apartment
135000.0,29,6,State servant,Laborers,Married,Rented apartment
67500.0,61,6,Working,Laborers,Married,House / apartment
135000.0,42,9,State servant,Core staff,Married,House / apartment
382500.0,33,2,State servant,Managers,Single / not married,With parents
270000.0,46,1,Working,Laborers,Separated,House / apartment
202500.0,39,17,Working,Laborers,Separated,House / apartment
292500.0,35,3,Working,Laborers,Separated,House / apartment
225000.0,60,0,Pensioner,Laborers,Separated,House / apartment
135000.0,38,3,Commercial associate,Sales staff,Married,With parents
76500.0,64,0,Pensioner,Laborers,Married,House / apartment
180000.0,37,13,Working,Laborers,Married,House / apartment
450000.0,50,2,Commercial associate,Core staff,Married,House / apartment
90000.0,64,0,Pensioner,Laborers,Civil marriage,House / apartment
157500.0,54,12,Working,Laborers,Married,House / apartment
306000.0,35,15,State servant,Medicine staff,Married,House / apartment
90000.0,55,0,Pensioner,Laborers,Single / not married,Municipal apartment
135000.0,44,4,Working,Laborers,Separated,House / apartment
193500.0,57,25,Working,Laborers,Married,House / apartment
180000.0,39,19,Working,Laborers,Married,House / apartment
270000.0,57,0,Pensioner,Laborers,Married,House / apartment
112500.0,63,0,Pensioner,Laborers,Married,House / apartment
202500.0,53,1,Working,High skill tech staff,Married,House / apartment
180000.0,54,4,Commercial associate,Laborers,Widow,House / apartment
139500.0,51,0,Working,Cooking staff,Married,House / apartment
135000.0,46,2,Working,Laborers,Married,With parents
202500.0,52,10,Working,Drivers,Married,House / apartment
112500.0,28,1,Working,Laborers,Married,House / apartment
126000.0,56,0,Pensioner,Laborers,Separated,House / apartment
193500.0,67,0,Pensioner,Laborers,Widow,House / apartment
112500.0,47,5,Working,Sales staff,Married,House / apartment
337500.0,50,19,Working,Managers,Married,House / apartment
157500.0,61,29,Working,Laborers,Single / not married,House / apartment
193500.0,49,11,Working,Laborers,Married,House / apartment
180000.0,35,11,Commercial associate,Core staff,Married,House / apartment
315000.0,30,6,Commercial associate,Laborers,Married,House / apartment
180000.0,65,0,Pensioner,Laborers,Married,House / apartment
90000.0,64,0,Pensioner,Laborers,Single / not married,Municipal apartment
180000.0,32,6,Working,Core staff,Married,With parents
112500.0,35,3,Working,Core staff,Civil marriage,House / apartment
157500.0,34,3,Working,Cleaning staff,Married,Municipal apartment
135000.0,50,14,Working,Cleaning staff,Married,House / apartment
315000.0,43,10,Working,Managers,Married,House / apartment
112500.0,54,7,Working,Laborers,Widow,House / apartment
135000.0,63,0,Pensioner,Laborers,Married,House / apartment
99000.0,51,0,Pensioner,Laborers,Married,House / apartment
900000.0,27,3,Commercial associate,Managers,Married,House / apartment
270000.0,26,0,Commercial associate,Core staff,Single / not married,House / apartment
112500.0,34,9,Commercial associate,Core staff,Married,With parents
180000.0,39,7,State servant,Core staff,Married,House / apartment
141750.0,56,0,Pensioner,Laborers,Married,House / apartment
180000.0,53,12,Working,Sales staff,Married,House / apartment
112500.0,51,17,State servant,Medicine staff,Civil marriage,House / apartment
225000.0,27,0,Working,Cleaning staff,Married,With parents
270000.0,24,1,Working,Medicine staff,Civil marriage,House / apartment
202500.0,42,8,Working,Laborers,Married,House / apartment
135000.0,41,22,Working,Drivers,Married,Office apartment
292500.0,33,7,Commercial associate,Laborers,Married,House / apartment
202500.0,30,5,Working,Core staff,Civil marriage,House / apartment
99000.0,41,15,Working,Cooking staff,Married,House / apartment
202500.0,48,5,Commercial associate,Laborers,Married,House / apartment
306000.0,41,9,Commercial associate,Laborers,Married,House / apartment
148500.0,57,0,Pensioner,Laborers,Widow,House / apartment
135000.0,29,4,Working,Core staff,Married,House / apartment
180000.0,39,7,Commercial associate,Drivers,Married,Municipal apartment
180000.0,52,0,Pensioner,Laborers,Married,House / apartment
157500.0,65,0,Pensioner,Laborers,Widow,House / apartment
247500.0,59,38,Commercial associate,Core staff,Single / not married,House / apartment
112500.0,25,1,Commercial associate,Laborers,Single / not married,With parents
180000.0,47,0,Working,Laborers,Married,House / apartment
103500.0,44,18,Working,Medicine staff,Married,House / apartment
198000.0,60,0,Pensioner,Laborers,Widow,House / apartment
135000.0,31,7,Commercial associate,Laborers,Married,House / apartment
67500.0,32,8,State servant,Laborers,Married,House / apartment
202500.0,51,33,Working,Laborers,Married,House / apartment
315000.0,54,3,Commercial associate,Core staff,Civil marriage,House / apartment
292500.0,51,25,Working,High skill tech staff,Married,House / apartment
148500.0,47,6,Commercial associate,Core staff,Married,Office apartment
202500.0,33,4,Working,Managers,Widow,House / apartment
180000.0,59,7,Working,Drivers,Married,House / apartment
90000.0,30,2,Working,Laborers,Married,House / apartment
135000.0,42,8,Working,Low-skill Laborers,Married,House / apartment
135000.0,27,6,State servant,Laborers,Single / not married,With parents
261000.0,27,3,Commercial associate,Laborers,Married,House / apartment
135000.0,43,22,Working,High skill tech staff,Married,House / apartment
112500.0,50,2,Working,High skill tech staff,Married,House / apartment
135000.0,29,4,Working,Sales staff,Married,House / apartment
135000.0,60,26,Working,High skill tech staff,Widow,House / apartment
360000.0,38,0,Pensioner,Laborers,Married,House / apartment
171000.0,40,3,Working,Core staff,Married,House / apartment
40500.0,36,5,State servant,Cooking staff,Married,Rented apartment
130500.0,41,13,Working,Cleaning staff,Civil marriage,House / apartment
306000.0,29,4,Commercial associate,Managers,Married,House / apartment
202500.0,58,3,Commercial associate,Accountants,Married,Municipal apartment
112500.0,64,1,Working,Laborers,Married,House / apartment
112500.0,36,1,Working,Laborers,Married,House / apartment
90000.0,48,9,Working,Secretaries,Married,House / apartment
153000.0,65,0,Pensioner,Laborers,Widow,House / apartment
135000.0,31,2,Working,Accountants,Married,Rented apartment
180000.0,56,0,Pensioner,Laborers,Single / not married,House / apartment
112500.0,58,0,Pensioner,Laborers,Married,House / apartment
90000.0,60,4,Working,Core staff,Separated,House / apartment
157500.0,37,6,Commercial associate,Core staff,Married,House / apartment
247500.0,33,5,State servant,High skill tech staff,Civil marriage,House / apartment
112500.0,63,0,Pensioner,Laborers,Married,House / apartment
67500.0,35,3,Working,Laborers,Married,House / apartment
360000.0,44,15,State servant,Managers,Married,House / apartment
360000.0,42,5,Commercial associate,Managers,Married,House / apartment
315000.0,30,0,Commercial associate,Managers,Married,House / apartment
157500.0,41,3,Working,Cleaning staff,Married,House / apartment
135000.0,63,0,Pensioner,Laborers,Civil marriage,House / apartment
166500.0,30,11,Working,Laborers,Married,House / apartment
180000.0,44,14,Working,Laborers,Married,House / apartment
225000.0,56,9,Working,Medicine staff,Married,House / apartment
135000.0,48,1,Commercial associate,Accountants,Single / not married,House / apartment
135000.0,42,22,Commercial associate,High skill tech staff,Separated,House / apartment
193500.0,51,27,Working,Laborers,Single / not married,House / apartment
247500.0,33,5,State servant,High skill tech staff,Civil marriage,House / apartment
315000.0,59,2,Working,Laborers,Married,House / apartment
405000.0,28,7,Working,Managers,Married,House / apartment
405000.0,38,5,Working,Core staff,Married,Rented apartment
90000.0,28,3,Working,Laborers,Married,With parents
270000.0,34,10,Working,Security staff,Married,House / apartment
243000.0,40,6,Working,Sales staff,Single / not married,House / apartment
180000.0,44,5,Commercial associate,High skill tech staff,Married,House / apartment
112500.0,43,4,Working,Security staff,Married,House / apartment
337500.0,65,21,Working,Laborers,Married,House / apartment
135000.0,54,0,Pensioner,Laborers,Married,Municipal apartment
117000.0,47,12,Working,Managers,Married,House / apartment
202500.0,35,1,Working,Managers,Married,With parents
270000.0,66,0,Pensioner,Laborers,Married,House / apartment
202500.0,23,3,Commercial associate,Core staff,Married,House / apartment
135000.0,46,18,Working,Laborers,Single / not married,House / apartment
216000.0,43,4,Working,Core staff,Married,House / apartment
135000.0,39,3,Working,Managers,Widow,House / apartment
225000.0,29,9,Commercial associate,Realty agents,Married,House / apartment
81000.0,48,9,Working,Laborers,Married,House / apartment
180000.0,39,11,Working,Managers,Civil marriage,House / apartment
292500.0,52,0,Pensioner,Laborers,Married,House / apartment
225000.0,36,14,Commercial associate,Managers,Married,With parents
157500.0,51,10,Working,Core staff,Married,House / apartment
157500.0,50,10,Commercial associate,Laborers,Single / not married,House / apartment
166500.0,34,3,Commercial associate,Core staff,Married,House / apartment
445500.0,53,7,Commercial associate,Laborers,Separated,House / apartment
180000.0,42,12,Working,Sales staff,Widow,House / apartment
45000.0,57,0,Pensioner,Laborers,Married,House / apartment
315000.0,31,7,State servant,Core staff,Civil marriage,House / apartment
450000.0,34,6,Commercial associate,Managers,Married,House / apartment
180000.0,42,20,Commercial associate,Core staff,Single / not married,House / apartment
90000.0,33,0,Working,Laborers,Married,House / apartment
191399.0,64,0,Pensioner,Laborers,Married,House / apartment
148500.0,41,14,Working,Laborers,Married,House / apartment
135000.0,52,19,Working,Cleaning staff,Married,House / apartment
144000.0,53,6,Commercial associate,Managers,Married,House / apartment
135000.0,44,0,Pensioner,Laborers,Married,House / apartment
360000.0,42,8,Working,Managers,Married,House / apartment
90000.0,32,9,Working,Waiters/barmen staff,Civil marriage,House / apartment
157500.0,48,10,Working,Managers,Married,House / apartment
135000.0,31,13,Working,Laborers,Married,House / apartment
292500.0,34,11,Working,Sales staff,Married,House / apartment
112500.0,53,14,State servant,Laborers,Widow,House / apartment
216000.0,49,8,Working,Medicine staff,Single / not married,House / apartment
126000.0,28,8,Commercial associate,Laborers,Married,House / apartment
135000.0,52,5,Working,Laborers,Married,House / apartment
189000.0,60,0,Pensioner,Laborers,Widow,House / apartment
337500.0,46,3,Working,High skill tech staff,Single / not married,House / apartment
44550.0,63,0,Pensioner,Laborers,Married,House / apartment
112500.0,37,3,Working,Cooking staff,Civil marriage,House / apartment
157500.0,29,5,Working,Laborers,Married,House / apartment
112500.0,39,6,Working,Laborers,Civil marriage,House / apartment
135000.0,35,4,Working,Laborers,Married,House / apartment
135000.0,53,21,Working,Laborers,Married,House / apartment
301500.0,25,2,Working,Laborers,Married,Rented apartment
112500.0,39,20,Working,Cooking staff,Married,House / apartment
90000.0,23,3,Working,Laborers,Single / not married,House / apartment
67500.0,59,0,Pensioner,Laborers,Separated,House / apartment
292500.0,28,6,Working,Managers,Married,House / apartment
315000.0,35,4,Commercial associate,Managers,Married,With parents
117000.0,48,1,Working,Laborers,Married,House / apartment
157500.0,56,0,Pensioner,Laborers,Single / not married,House / apartment
67500.0,31,5,Working,Laborers,Married,House / apartment
189000.0,55,0,Pensioner,Laborers,Separated,House / apartment
202500.0,42,14,Working,Core staff,Civil marriage,House / apartment
157500.0,29,6,Commercial associate,Laborers,Married,House / apartment
225000.0,37,3,Working,Core staff,Civil marriage,House / apartment
112500.0,35,3,Working,Laborers,Married,House / apartment
202500.0,51,19,Commercial associate,Accountants,Married,House / apartment
180000.0,41,5,Commercial associate,Laborers,Married,House / apartment
225000.0,26,6,Commercial associate,Managers,Married,House / apartment
157500.0,38,0,Commercial associate,High skill tech staff,Married,House / apartment
180000.0,39,9,Working,Laborers,Married,House / apartment
112500.0,41,7,Working,Core staff,Civil marriage,House / apartment
81000.0,54,1,Working,Sales staff,Married,House / apartment
90000.0,48,22,State servant,Medicine staff,Married,House / apartment
180000.0,61,1,Commercial associate,Laborers,Married,House / apartment
94500.0,67,0,Pensioner,Laborers,Widow,House / apartment
180000.0,61,1,Commercial associate,Laborers,Married,House / apartment
450000.0,64,0,Pensioner,Laborers,Married,House / apartment
315000.0,38,3,Commercial associate,Managers,Civil marriage,House / apartment
54000.0,27,2,Working,Sales staff,Married,House / apartment
112500.0,62,0,Pensioner,Laborers,Married,House / apartment
157500.0,29,6,Working,Sales staff,Married,House / apartment
180000.0,38,3,Commercial associate,Laborers,Civil marriage,House / apartment
225000.0,55,10,Working,Sales staff,Married,House / apartment
360000.0,43,4,Working,Drivers,Married,House / apartment
112500.0,62,0,Pensioner,Laborers,Widow,House / apartment
